Flight,Departure Time,Arrival Time,Airline,Price (€),Emission (kg CO2),Class Category,Plane
VY 1885,3:05 PM,5:45 PM,Vueling,€264,131 kg CO2e,Economy,Airbus A320
U2 7174,8:20 PM,10:55 PM,easyJet,€219,139 kg CO2e,Economy,Airbus A319
VY 1887,9:05 PM,11:45 PM,Vueling,€201,143 kg CO2e,Economy,Airbus A321
VY 1883,10:50 AM,1:25 PM,Vueling,€221,143 kg CO2e,Economy,Airbus A321
U2 5181,6:55 AM,12:35 PM,easyJet,€275,156 kg CO2e,Economy,Non Renseigné
U2 5181,6:55 AM,11:15 AM,Vueling,€251,157 kg CO2e,Economy,Non Renseigné
LH 1949,7:00 PM,10:55 PM,Lufthansa,€400,170 kg CO2e,Economy,Airbus A320neo
U2 2604,9:30 PM,9:30 AM+1,easyJet,€230,206 kg CO2e,Economy,Non Renseigné
W4 5106,1:05 PM,10:20 PM,Wizz Air,€192,216 kg CO2e,Economy,Non Renseigné
OS 230,3:10 PM,7:45 PM,Austrian,€291,218 kg CO2e,Economy,Airbus A320
